index_f,Nuovo ID,hallow_back,rilegatura_moderna,Colonna1,Collocazione,roman_converted,disambiguatore,numero_del_codice,numerazione_araba,numerazione_romana_alternativa,ulteriore_numerazione_arabaoromana,identificativo_parte,Spagnolo,note,titolo,materiale,datazione_i,datazione_i,datazione_f,lingua,fogli,altezza,ampiezza,rilegatura,tipo_rilegatura,materiale_rilegatura,palinsesto,testo_indistinto,danni_fuoco,cancro_pergamena,margini_danneggiati,danni_umidita,restaurato,anno_restauro,dorature,disegni,miniato,colori,rosso,blue,preferred_manifest_url
385,m0368_0,,,,[IV 3 12],368,_0,CCCLXVIII,271,,,,368,,Codex manus. bibl. Othoboni,cartaceo,1700,1701,1800,,300,260,190,rilegato,pergamena,,,,,,,,,,,,,,,,
386,m0369_0,,,,[IV 3 13],369,_0,CCCLXIX,272,,,,368,,Codices man. biblioth. card. Othoboni,cartaceo,1700,1701,1800,,190,254,188,rilegato,pergamena,,,,,,,,,,,,,,,,
387,m0370_0,,,,[IV 3 14],370,_0,CCCLXX,273,,,,369,,Index generale munuscript. biblioth. card. Othoboni,cartaceo,1700,1701,1800,,80,266,198,rilegato,pergamena,,,,,,,,,,,,,,,,
388,m0371_0,,,,[IV 3 15],371,_0,CCCLXXI,274,,,,369,,Index archivii Castri S. Angeli in urbe,cartaceo,1700,1701,1800,,136,260,190,rilegato,pergamena,,,,,,,,,,,,,,,,
389,m0372_0,,,,[IV 3 16],372,_0,CCCLXXII,372,,,,370,,Observationes astronomicae,cartaceo,1700,1701,1800,,217,300,200,rilegato,cartoncino,,,,,,,,,,,,,,,,
390,m0373_0,,,,[IV 3 17],373,_0,CCCLXXIII,285,,,,370,,Geographia sacra ex veteribus monumentis,cartaceo,1700,1701,1800,,117,312,220,rilegato,pergamena,,,,,,,,,,,1,,,,,
391,m0374_0,,,,[IV 3 18],374,_0,CCCLXXIV,421,,,,371,,Ex libro cui titulus: Instrumenta autentica translationum sanctorum corporum et reliquiarum etc.,cartaceo,1700,1701,1800,,40,270,202,rilegato,cartoncino,,,,,,,,,,,1,,,,,
392,m0375_0,,,,[IV 3 19],375,_0,CCCLXXV,207,,,,371,,"Globus farnesianus et in eo rudimenta astronomiae, chronologiae et historiae aetatis heroicae a Graecis ad nos transmissa",cartaceo,1700,1701,1800,,55,278,204,rilegato,cartoncino,,,,,,,,,,,,,,,,
393,m0376_0,,,,[IV 3 20],376,_0,CCCLXXVI,,,,,372-373,,Opuscula varia,cartaceo,1600,1601,1800,,221,282,217,rilegato,cartoncino,,,,,,,,,,,1,,,,,
394,m0377_0,,,,[IV 3 21],377,_0,CCCLXXVII,,,,,373,,Adversaria selecta eruditae antiquitatis,cartaceo,1700,1701,1800,,168,270,202,rilegato,cartoncino,,,,,,,,,,,,,,,,
395,m0378_0,,,,[IV 3 22],378,_0,CCCLXXVIII,,,,,373,,Adversaria chronologiae cesareae et consularis ad a. DC,cartaceo,1700,1701,1800,,92,345,231,rilegato,cartoncino,,,,,,,,,,,,,,,,
396,m0379_0,,,,[IV 3 23],379,_0,CCCLXXIX,,,,,374,,Notae historicae et chronologicae ad Anastasium biblioth.,cartaceo,1700,1701,1800,,141,307,217,rilegato,pergamena,,,,,,,,,,,,,,,,
397,m0380_0,,,,[IV 3 24],380,_0,CCCLXXX,,,,,374,,Notae historicae et chronologicae ad Anastasium,cartaceo,1700,1701,1800,,96,340,230,rilegato,pergamena,,,,,,,,,,,1,,,,,
398,m0381_0,,,,[IV 3 25],381,_0,CCCLXXXI,,,,,374-375,,Collectanea variorum abservationes,cartaceo,1700,1701,1800,,180,318,214,rilegato,cartoncino,,,,,,,,,,,1,,,,,
399,m0382_0,,,,[IV 3 26],382,_0,CCCLXXXII,,,,,375-376,,Collectanea rei numnariae,cartaceo,1600,1601,1800,,169,310,220,rilegato,cartoncino,,,,,,,,,,,,,,,,
400,m0383_0,,,,[V 3 1],383,_0,CCCLXXXIII,,,,,376-377,,Adversaria variae et selectae antiquitates,cartaceo,1600,1601,1800,,161,320,228,rilegato,cartoncino,,,,,,,,,,,1,,,,,
401,m0384_0,,,,[V 3 2],384,_0,CCCLXXXIV,,,,,377-378,,Iter in Britanniam et in Alsatiam,cartaceo,1713,1701,1714,,56,325,202,rilegato,mezza pelle,,,,,,,,,,,,,,,,
402,m0385_0,,,,[V 3 3],385,_0,CCCLXXXV,,,,,378-379,,Dissertationes duae,cartaceo,1727,1725,1728,,121,277,200,rilegato,cartoncino,,,,,,,,,,,,,,,,
403,m0386_0,,,,[V 3 4],386,_0,CCCLXXXVI,,,,,379,,Diarium itineris gallici,cartaceo,1712,1701,1713,,93,515,221,rilegato,pergamena,,,,,,,,,,,,,,,,
404,m0387_0,,,,[V 3 5],387,_0,CCCLXXXVII,,,,,379-380,,Observationes astronomicae,cartaceo,1683,1675,1695,,142,290,200,rilegato,cartoncino,,,,,,,,,,,1,,,,,
405,m0388_0,,,,[V 3 6],388,_0,CCCLXXXVIII,,,,,380,,Orationes duae et epistolae,cartaceo,1689,1675,1690,,41,280,209,rilegato,cartoncino,,,,,,,,,,,,,,,,
406,m0389_0,,,,[V 3 7],389,_0,CCCLXXXIX,,,,,381,,Index verborum et rerum in prolegomenis ad to. II et III Anastasii bibliothecarii,cartaceo,1700,1701,1800,,96,271,118,rilegato,pergamena,,,,,,,,,,,,,,,,
407,m0390_0,,,,[V 3 8],390,_0,CCCXC,,,,,381-382,,Scritture sopra gli affari del calendario,cartaceo,1600,1601,1800,,82,265,206,rilegato,cartoncino,,,,,,,,,,,,,,,,
408,m0391_0,,,,[V 3 9],391,_0,CCCXCI,,,,,382-383,,"Observationes astronomiae, De kalendario et De ciclo Caesaris",cartaceo,1700,1701,1800,,156,278,205,rilegato,cartoncino,,,,,,,,,,,,,,,,
409,m0392_0,,,,[V 3 10],392,_0,CCCXCII,,,,,383-385,,Lettere di ragguaglio de' viaggi in Francia,cartaceo,1712,1701,1714,,98,300,210,rilegato,pergamena,,,,,,,,,,,,,,,,
410,m0393_0,,,,[V 3 11],393,_0,CCCXCIII,,,,,385-387,,Epistolae ad celebres viros et eorum ad ipsum ac varia,cartaceo,1727,1725,1730,,72,268,216,rilegato,pergamena,,,,,,,,,,,,,,,,
411,m0394_0,,,,[V 3 12],394,_0,CCCXCIV,,,,,387-390,,Epistolae ad viros celebres et eorum ad ipsum,cartaceo,1720,1701,1726,,100,278,215,rilegato,pergamena,,,,,,,,,,,1,,,,,
412,m0395_0,,,,[V 3 13],395,_0,CCCXCV,,,,,390-393,,Epist. ad reges Britan. m. duc. Hetr. elet. Bavar. ac ad alios,cartaceo,1717,1701,1720,,93,251,195,rilegato,pergamena,,,,,,,,,,,,,,,,
413,m0396_0,,,,[V 3 14],396,_0,CCCXCVI,,,,,393-394,,Iter primum et secundum in Etruriam cum observationibus pro meridiana Italiae,cartaceo,1700,1701,1800,,147,260,195,rilegato,pergamena,,,,,,,,,,,1,,,,,
414,m0397_0,,,,[V 3 15],397,_0,CCCXCVII,,,,,394-395,,"Observationes astronomicae, Epistolae, Iter Roma Brixiam",cartaceo,1720,1701,1721,,45,228,232,rilegato,pergamena,,,,,,,,,,,,,,,,
415,m0398_0,,,,[V 3 16],398,_0,CCCXCVIII,,,,,395-397,,Itinera et Epistolae,cartaceo,1712,1701,1713,,98,312,205,rilegato,pergamena,,,,,,,,,,,,,,,,
416,m0399_0,,,,[V 3 17],399,_0,CCCXCIX,,,,,397-398,,Adversaria selectae eruditae antiquitatis,cartaceo,1600,1601,1700,,78,255,195,rilegato,cartoncino,,,,,,,,,,,,,,,,
417,m0400_0,,,,[V 3 18],400,_0,CCCC,,,,,398,,Historia primi dissidii inter fideles Antiochiae,cartaceo,1600,1601,1700,,8,268,203,rilegato,cartoncino,,,,,,,,,,,,,,,,
418,m0401_0,,,,[V 3 19],401,_0,CCCCI,,,,,398,,Liber chronologicus II saeculi christianae,cartaceo,1700,1701,1800,,39,258,200,rilegato,cartoncino,,,,,,,,,,,,,,,,
419,m0402_0,,,,[V 3 20],402,_0,CCCCII,,,,,399,,Saeculi II aerae christianae liber historicus,cartaceo,1700,1701,1800,,11,267,197,rilegato,cartoncino,,,,,,,,,,,,,,,,
420,m0403_0,,,,[V 3 21],403,_0,CCCCIII,,,,,399,,Adversaria pro historia ecclesiae saeculi et alia,cartaceo,1600,1601,1700,,41,276,206,rilegato,cartoncino,,,,,,,,,,,1,,,,,
421,m0404_0,,,,[V 3 22],404,_0,CCCCIV,,,,,399-400,,Adversaria anastasiana et rei antiquariae et astronomicae,cartaceo,1600,1601,1800,,134,253,195,rilegato,pergamena,,,,,,,,,,,,,,,,
422,m0405_0,,,,[V 3 23],405,_0,CCCCV,,,,,400,,Lucubrationes variae pro emendatione kalendarii et alia,cartaceo,1600,1601,1800,,90,267,210,rilegato,cartoncino,,,,,,,,,,,,,,,,
423,m0405A0,,,,[V 3 24],405,A0,CCCCV A,,,,,400,,Lucubrationes variae pro emendatione kalendarii et alia,cartaceo,1600,1601,1800,,90,267,210,rilegato,cartoncino,,,,,,,,,,,,,,,,
424,m0406_0,,,,[V 3 25],406,_0,CCCCVI,,,,,400-401,,Specimina quaedam novae reparationis temporum ad usum chronologiae,cartaceo,1700,1701,1800,,95,290,204,rilegato,cartoncino,,,,,,,,,,,,,,,,
425,m0407_0,,,,[V 3 26],407,_0,CCCCVII,,,,,401-402,,De reparatione chronologica ad epocham passionis Christi,cartaceo,1700,1701,1800,,4,275,208,rilegato,cartoncino,,,,,,,,,,,,,,,,
426,m0408_0,,,,[V 3 27],408,_0,CCCCVIII,,,,,402,,Praefatio generalis historica in omnes Veteris testamenti libros in quinque capitula distributa,cartaceo,1700,1701,1800,,37,270,203,rilegato,cartoncino,,,,,,,,,,,,,,,,
427,m0409_0,,,,[V 3 28],409,_0,CCCCIX,,,,,402-403,,Studi di anatomia,cartaceo,1675,1675,1700,,13,312,220,rilegato,cartoncino,,,,,,,,,,,1,,,,,
428,m0410_0,,,,[V 3 29],410,_0,CCCCX,,,,,403,,Historia sectae philosophi I et II ecclesiae saeculo,cartaceo,1600,1601,1800,,20,270,205,rilegato,cartoncino,,,,,,,,,,,,,,,,
429,m0411_0,,,,[V 3 30],411,_0,CCCCXI,,,,,403-404,,"Antiquae imagines depictae aut musivis operibus efformatae in basilicis ac titulis urbis aut in coemeteris suburbanis ss. martirum desumptae ex genuinis monumentis veterum christianorum cura et impensis equitis Cassiani de Puteo, eiusque ex museo translatae in domesticam bibliothecam ss. d. n. Clementis papae XI",cartaceo,1700,1701,1800,,61,280,210,rilegato,cartoncino,,,,,,,,,,,,,,,,
430,m0412_0,,,,[V 3 31],412,_0,CCCCXII,,,,,404,,De phisica et mathemat. utilitate gallice et anglice,cartaceo,1600,1601,1700,,61,276,202,rilegato,cartoncino,,,,,,,,,,,,,,,,
431,m0413_0,,,,[V 3 32],413,_0,CCCCXIII,,,,,404-405,,Thomae Pii Maffaei De corrigendis epactis in kelendario gregoriano a Franc. Blanchino opus revisum,cartaceo,1703,1701,1704,,61,320,222,rilegato,cartoncino,,,,,,,,,,,,,,,,
432,m0414_0,,,,[V 3 33],414,_0,CCCCXIV,,,,,405,,Prafatio operis cui titulis: Explicatio rerum quae in sepulcris veterum romanorum occurrunt,cartaceo,1700,1701,1800,,4,278,203,rilegato,cartoncino,,,,,,,,,,,,,,,,
433,m0415_0,,,,[V 3 34],415,_0,CCCCXV,,,,,405-406,,Chronologia II saeculi aerae christianae ex genuinis monumentis caesarum et magistror. disposit.,cartaceo,1700,1701,1800,,77,270,200,rilegato,cartoncino,,,,,,,,,,,,,,,,
434,m0416_0,,,,[V 3 35],416,_0,CCCCXVI,,,,,406,,Delle fortificazioni e azione bellica,cartaceo,1700,1701,1800,,4,315,210,rilegato,cartoncino,,,,,,,,,,,,,,,,
435,m0417_0,,,,[V 3 36],417,_0,CCCCXVII,,,,,407,,Inscriptiones et explicatio vitri S. Calepodii,cartaceo,1726,1725,1729,,34,310,220,rilegato,cartoncino,,,,,,,,,,,,,,,,
436,m0418_0,,,,[V 3 37],418,_0,CCCCXVIII,,,,,407-408,,De translatione s. corporis b. Leonis Magni et de observatis rebus praecipuis in eiusdem sepulchri et corporis inspectione,cartaceo,1700,1701,1800,,103,270,208,rilegato,cartoncino,,,,,,,,,,,,,,,,
437,m0419_0,,,,[V 3 38],419,_0,CCCCXIX,,,,,408,,Explication des pièces renfermées dans la croix,cartaceo,1717,1701,1718,,54,273,208,rilegato,cartoncino,,,,,,,,,,,,,,,,
438,m0420_0,,,,[V 3 39],420,_0,CCCCXX,,,,,408-409,,Studi vari su argomenti di scienza astronomica,cartaceo,1600,1601,1800,,69,286,215,rilegato,cartoncino,,,,,,,,,,,1,,,,,
439,m0421_0,,,,[V 3 40],421,_0,CCCCXXI,,,,,409-410,,Discorsi accademici,cartaceo,1717,1701,1718,,38,273,202,rilegato,cartoncino,,,,,,,,,,,,,,,,
440,m0422_0,,,,[V 3 41],422,_0,CCCCXXII,,,,,410-412,,Epistolae Ioanni Antonio Daviae et e.mo A Scheletrate,cartaceo,1685,1675,1689,,25,308,219,rilegato,cartoncino,,,,,,,,,,,,,,,,
441,m0423_0,,,,[V 3 42],423,_0,CCCCXXIII,,,,,412-415,,Iter e Gallia in Italiam ac Epistolae,cartaceo,1713,1701,1714,,92,322,207,rilegato,pergamena,,,,,,,,,,,,,,,,
442,m0424_0,,,,[V 3 43],424,_0,CCCCXXIV,,,,,415-416,,"Viaggi a Bolzano, a Bergamo, a Brescia",cartaceo,1705,1701,1706,,51,297,210,rilegato,cartoncino,,,,,,,,,,,1,,,,,
443,m0425_0,,,,[V 3 44],425,_0,CCCCXXV,,,,,416,,"De re nummaria, lapidaria et antiquaria",cartaceo,1600,1601,1800,,56,270,215,rilegato,cartoncino,,,,,,,,,,,,,,,,
444,m0426_0,,,,[V 3 45],426,_0,CCCCXXVI,,,,,416,,Oratorio pel SS. Natale,cartaceo,1700,1701,1701,,28,276,207,rilegato,cartoncino,,,,,,,,,,,,,,,,
445,m0427_0,,,,[V 3 46],427,_0,CCCCXXVII,,,,,417,,Giuseppe Bianchini: Officium proprium sanct. mart. Firmi et Rustici pro diocesi Veronensi et Bergomensi,cartaceo,1700,1701,1800,,80,366,262,rilegato,pergamena,,,,,,,,,,,,,,,,
446,m0428_0,,,,[V A 7],428,_0,CCCCXXVIII,,,,,417-419,A,"Adversaria eruditae antiquitatis, Observationes mathematicae, Experimenta phisica, Epistolae litterariae, Carmina",cartaceo,1684,1775,1800,,,,,rilegato,cartoncino,,,,,,,,,,,,,,,,
447,m0428_0,,,,[V 3 47],428,_0,CCCCXXVIII,,,,,417-419,B,"Adversaria eruditae antiquitatis, Observationes mathematicae, Experimenta phisica, Epistolae litterariae, Carmina",cartaceo,1675,1775,1700,,101,405,155,rilegato,cartoncino,,,,,,,,,,,,,,,,
448,m0429_0,,,,[V 3 48],429,_0,CCCCXXIX,,,,,419-420,,Miscellanea,cartaceo,1600,1601,1800,,,290,210,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,1,,,,,
449,m0430_0,,,,[V 3 49],430,_0,CCCCXXX,,,,,420-421,,Miscellanea,cartaceo,1600,1601,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,,,,,,
450,m0431_0,,,,[V 3 50],431,_0,CCCCXXXI,,,,,421-422,,Adversaria Anastasiana,cartaceo,1600,1601,1800,,,,,fascicoli,fascicoli e fogli sciolti raccolti in busta,,,,,,,,,,,,,,,,
451,m0432_0,,,,[VI 3 1],432,_0,CCCCXXXII,,,,,422-423,,Adversaria Anastasiana,cartaceo,1600,1601,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,1,,,,,
452,m0433_0,,,,[VI 3 2],433,_0,CCCCXXXIII,,,,,423-424,,Miscellanea latina e italiana,cartaceo,1600,1601,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,1,,,,,
453,m0434_0,,,,[VI 3 3],434,_0,CCCCXXXIV,,,,,425,,"Hesperi e Phospori nova phaenomena, sive Observationes circa planetam Veneris et alia",cartaceo,1700,1701,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,1,,,,,
454,m0435_0,,,,[VI 3 4],435,_0,CCCCXXXV,,,,,425-427,,Miscellanea di varia erudizione,cartaceo,1700,1701,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,,,,,,
455,m0436_0,,,,[VI 3 5],436,_0,CCCCXXXVI,,,,,427-428,,Il palazzo dei Cesari,cartaceo,1700,1701,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,1,,,,,
456,m0437_0,,,,[VI 3 6],437,_0,CCCCXXXVII,,,,,428-432,,Lettere e scritti vari,cartaceo,1721,1701,1729,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,,,,,,
457,m0438A0,,,,[VI 3 7],438,A0,CCCCXXXVIII A,,,,,432,,Dei servi e liberti della famiglia di Livia Augusta,cartaceo,1727,1725,1728,,,,,fogli sciolti,fogli sciolti raccolti in busta,,,,,,,,,,,1,,,,,
458,m0438B0,,,,[VI 3 8],438,B0,CCCCXXXVIII B,,,,,432-433,,Miscellanea,cartaceo,1600,1601,1800,,,,,fascicoli,fascicoli e fogli sciolti raccolti in busta,,,,,,,,,,,1,,,,,
459,m0438C0,,,,[VI 3 9],438,C0,CCCCXXXVIII C,,,,,433-435,,Miscellanea,cartaceo,1600,1601,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,1,,,,,
460,m0438D0,,,,[VI 3 10],438,D0,CCCCXXXVIII D,,,,,435-436,,Miscellanea,cartaceo,1600,1601,1800,,,,,fascicoli,fascicoli e fogli sciolti raccolti in busta,,,,,,,,,,,1,,,,,
461,m0439_0,,,,[VI 3 11],439,_0,CCCCXXXIX,328,,,,436,,L'istoria universale provata e figurata con simboli tratti da monumenti degli antichi,cartaceo,1600,1601,1800,,304,283,205,rilegato,pelle,,,,,,,,,,,,,,,,
462,m0440_0,,,,[VI 3 12],440,_0,CCCCXL,,,,,437,,Miscellanea,cartaceo,1700,1701,1800,,94,260,200,rilegato,pelle,,,,,,,,,,,,,,,,
463,m0441_0,,,,[VI 3 13],441,_0,CCCCXLI,,,,,437-438,,Miscellanea,cartaceo,1700,1701,1800,,,,,fascicoli,fascicoli raccolti in busta,,,,,,,,,,,1,,,,,
464,m0441A0,,,"A stampa (Onuphrii Panvinii… chronicon ecclesiasticum, Colonia 1568)",[VI 3 14],441,A0,CCCCXLI A,,,,,438,"aggiunto, a stampa","Onuphrii Panvinii… Chronicum eclesiasticum Colonia, 1568",,1568,1569,1569,,,,,,,,,,,,,,,,,,,,,,
465,m0442_0,,,,[VI 3 15],442,_0,CCCCXLII,,,,,438-439,,Fumani Adami Observationes verborum,cartaceo,1500,1501,1600,,118,155,105,rilegato,cartoncino,,,,,,,,,,,,,,,,
466,m0443_0,,,,[VI 3 16],443,_0,CCCCXLIII,286,,,,439-440,,De Tempo Antonio: De rithmis vulgaribus,cartaceo,1300,1301,1400,,42,280,215,rilegato,tavole,,,,,,,,,,,,,,,,
467,m0444_0,,,,[VI 3 17],444,_0,CCCCXLIV,287,,,,440-441,,Gidino da Sommacampagna: Dei ritmi volgari,cartaceo,1300,1301,1400,,38,330,230,rilegato,,,,,,,,,,,1,1,1,1,,,
468,m0445_0,,,,[VI 3 18],445,_0,CCCCXLV,288,,,,441-443,,Alighieri Dante: Vita nuova e Rime,cartaceo,1300,1301,1500,,34,310,220,rilegato,cartoncino,,,,,,,,,,,,,,,,
469,m0446_0,,,,[VII 3 1],446,_0,CCCCXLVI,289,,,,443,,Villani Giovanni e Matteo: Cronache fiorentine,cartaceo,1300,1301,1400,,242,358,268,rilegato,pergamena,,,,,,,,,,,,,,1,,
470,m0447_0,,,,[VII 3 2],447,_0,CCCCXLVII,290,,,,444,,"Petrarca Francesco: I Trionfi, Sonetti e Canzoni",membranaceo,1400,1401,1500,,186,174,115,rilegato,assi coperte di pelle con impressioni e fermaglio,,,,,,,,,,1,,1,1,1,,
471,m0448_0,,,,[VII 3 3],448,_0,CCCCXLVIII,291,,,,444-445,,Storia degli Sforza,cartaceo,1400,1401,1500,,148,285,187,rilegato,assi coperte di pelle con impressioni,,,,,,,,,,,,,,,,
472,m0449_0,,,,[VII 3 4],449,_0,CCCCXLIX,292,,,,445,,Gataro Galeazzo: Cronaca della città di Padova,cartaceo,1600,1601,1700,,180,310,215,rilegato,pergamena,,,,,,,,,,,,,,,,
473,m0450_0,,,,[VII 3 5],450,_0,CCCCL,293,,,,445-446,,Miscellanea storica,cartaceo,1500,1501,1700,,181,200,128,rilegato,pelle,,,,,,,,,,,1,,,,,
474,m0451_0,,,,[VII 3 6],451,_0,CCCCLI,294,,,,446,cartaceo bombacinaceo,Cronaca della città di Venezia,cartaceo,1300,1301,1500,,240,222,165,rilegato,assi coperte di pelle con impressioni,,,,,,,,,,,,1,,,,
475,m0452_0,,,,[VII 3 7],452,_0,CCCCLII,295,,,,447,,Miscellanea storica,cartaceo,1400,1401,1500,,38,320,220,rilegato,cartoncino,,,,,,,,,,,,,,,,
476,m0453_0,,,,[VII 3 8],453,_0,CCCCLIII,296,,,,447-448,,Zagata Pietro: Cronaca di Verona,membranaceo,1300,1301,1400,,30,310,210,rilegato,cartoncino,,,,,,,,,,,,,,1,,
477,m0454_0,,,,[VII 3 9],454,_0,CCCCLIV,297,,,,448,,Corna Francesco: Le antiche cronache di Verona,cartaceo,1500,1501,1600,,66,210,145,rilegato,mezza pelle,,,,,,,,,,,,,,,,
478,m0455_0,,,,[VII 3 10],455,_0,CCCCLV,298,,,,449,,Volgarizzamento di Sallustio,cartaceo,1500,1501,1600,,74,310,210,rilegato,mezza pelle,,,,,,,,,,,,,,1,,
479,m0456_0,,,,[VII 3 11],456,_0,CCCCLVI,299,,,,449,,Volgarizzamento dei dialoghi di S. Gregorio papa,membranaceo,1300,1301,1400,,137,203,145,rilegato,assi e fermaglio,,,,,,,,,,1,,1,1,1,1,
480,m0457_0,,,,[VII 3 12],457,_0,CCCCLVII,300,,,,450,,Boccaccio Gio.: Volgarizzamento del libro De consolatione di Boezio,cartaceo,1400,1401,1500,,128,206,150,rilegato,assi coperte di pelle con belle impressioni e fermaglio,,,,,,,,,,,1,,1,1,,
481,m0458_0,,,,[VII 3 13],458,_0,CCCCLVIII,301,,,,450-451,cartac. o bombacinaceo?,Miscellanea di opere spirituali,cartaceo,1450,1451,1500,,115,240,180,rilegato,mezza pelle,,,,,,,,,,1,,1,1,1,1,
482,m0459_0,,,,[VII 3 14],459,_0,CCCCLIX,302,,,,452,,Volgarizzamento di due trattati di S. Bernardo,membranaceo,1300,1301,1400,,97,243,180,rilegato,assi coperte di pelle e fermaglio,,,,,,,,,,,,,,1,,
483,m0460_0,,,,[VII 3 15],460,_0,CCCCLX,303,,,,452,,Volgarizzamento del libro De consolatione di Boezio,membranaceo,1400,1401,1500,,40,246,165,rilegato,cartoncino,,,,,,,,,,,,1,1,1,1,
484,m0461_0,,,,[VII 3 16],461,_0,CCCCLXI,304,,,,453,,Petrarca Francesco: I Trionfi,membranaceo,1400,1401,1500,,58,140,90,rilegato,assi coperte di pelle con impressioni e due fermagli,,,,,,,,,,,,1,,,,
485,m0463_0,,,,[VII 3 17],463,_0,CCCCLXIII,307,,,,453,,Da Montechiello Domenico: L'Eroidi di Ovidio volgarizzati,bombacino,1300,1301,1400,,122,288,220,rilegato,tavole,,,,,,,,,,,,,,1,,
486,m0464_0,,,,[VII 3 18],464,_0,CCCCLXIV,306,,,,454,,Da Todi fra Giacopone: Rime sacre o Miscellanea poetica?,cartaceo,1400,1401,1600,,202,161,116,rilegato,cartoncino,,,,,,,,,,,,,,,,
487,m0465_0,,,,[VII 3 19],465,_0,CCCCLXV,308,,,,455,,Faella Giacopo Filippo e Pellegrini: Versi,cartaceo,1500,1501,1600,,132,197,155,rilegato,pergamena,,,,,,,,,,,,,,,,
488,m0466_0,,,,[VII 3 20],466,_0,CCCCLXVI,309,,,,455-456,,Composizioni in prosa e versi,cartaceo,1700,1701,1800,,93,208,155,rilegato,pergamena,,,,,,,,,,,,,,,,
489,m0467_0,,,,[VII 3 21],467,_0,CCCCLXVII,310,,,,456-458,,Composizioni poetiche sacre e profane,cartaceo,1600,1601,1700,,134,153,109,rilegato,pelle,,,,,,,,,,,,,,,,
490,m0468_0,,,,[VII 3 22],468,_0,CCCCLXVIII,311,,,,458,,Boccaccio Giov.: Vita di nostra donna,cartaceo,1500,1501,1600,,48,216,150,rilegato,pergamena,,,,,,,,,,,,,,,,
491,m0469_0,,,,[VII 3 23],469,_0,CCCCLXIX,312,,,,458-459,,Miscellanea poetica,cartaceo,1500,1501,1700,,100,200,143,rilegato,cartoncino,,,,,,,,,,,,,,,,
492,m0470_0,,,,[VII 3 24],470,_0,CCCCLXX,313,,,,459-460,,D'Alziboto Iacopo fiorent.: Delle lodi di Venezia,cartaceo,1400,1401,1500,,85,230,170,rilegato,cartoncino,,,,,,,,,,,,1,,1,,
493,m0471_0,,,,[I 4 1],471,_0,CCCCLXXI,314,,,,460-461,,Summaripa Giorgio ed altri: Le Satire di Giovenale volgarizzate in terza rima,bombacino,1500,1501,1700,,234,236,180,rilegato,tavole e due fermagli,,,,,,,,,,,1,,,,,
494,m0472_0,,,,[I 4 2],472,_0,CCCCLXXII,315,,,,461,,Marcello Marco Antonio: Storia degli stati posseduti o pretesi dalla Chiesa romana,cartaceo,1625,1625,1700,,121,300,210,rilegato,cartoncino,,,,,,,,,,,,,,,,
495,m0473_0,,,,[I 4 3],473,_0,CCCCLXXIII,316,,,,462,,Genealogia delle famiglie di Venezia ed altri scritti intorno la stessa città,cartaceo,1500,1501,1600,,50,,,rilegato,pergamena,,,,,,,,,,1,,1,1,,,
496,m0474_0,,,,[I 4 4],474,_0,CCCCLXXIV,317,,,,462-463,,Relazioni diplomatiche della Repubblica Veneta e della Santa Sede,cartaceo,1600,1601,1800,,150,287,204,rilegato,cartoncino,,,,,,,,,,,,,,,,
497,m0475_0,,,,[I 4 5],475,_0,CCCCLXXV,318,,,,463-464,,Del Bene Francesco: Alberi genealogici delle famiglie nobili di Verona,cartaceo,1400,1401,1600,,291,280,190,rilegato,cartoncino,,,,,,,,,,,,,,,,
498,m0476_0,,,,[I 4 6],476,_0,CCCCLXXVI,319,,,,464,,Ruccellai Giovanni: Oreste tragedia,cartaceo,1700,1701,1800,,57,300,220,rilegato,cartoncino,,,,,,,,,,,,,,,,
499,m0477_0,,,,[I 4 7],477,_0,CCCCLXXVII,320,,,,464,,Parti venete dal 1300 al 1500,cartaceo,1600,1601,1700,,455,300,200,rilegato,pergamena,,,,,,,,,,,,,,,,
500,m0478_0,,,,[I 4 8],478,_0,CCCCLXXVIII,321,,,,465,,Giustiniani card. Giovanni: Relatione di Roma,cartaceo,1700,1701,1800,,83,260,175,rilegato,cartoncino,,,,,,,,,,,,,,,,
501,m0479_0,,,,[I 4 9],479,_0,CCCCLXXIX,322,,,,465,,Granara Gio. Gregorio: Portolano,cartaceo,1600,1601,1700,,133,,,rilegato,pergamena,,,,,,,,,,,,,,,,
502,m0480_0,,,,[I 4 10],480,_0,CCCCLXXX,323,,,,466,,Volgarizzamento delle Epistole e Vangeli per tutto l'anno,membranaceo,1450,1451,1500,,130,240,180,rilegato,pergamena,,,,,,,,,,,1,,1,1,1,
503,m0481_0,,,,[I 4 11],481,_0,CCCCLXXXI,324,,,,466,,Mariano da Firenze: Dialogo del sacro Monte della Vernia,cartaceo,1525,1525,1600,,152,165,115,rilegato,pergamena,,,,,,,1,,,,,,,,,
